Species,Family,Subfamily,Life,Habitat,HabitatLife,SVL,Hum_Length,Hum_CSA,Hum_Imin,Hum_SMA,Hum_COM,Fem_Length,Fem_CSA,Fem_Imin,Fem_SMA,Fem_COM
Desmognathus_monticola,Plethodontidae,Plethodontinae,bi,SAq,SAq_bi,55.85,5.42,0.17,0.00,1.27,0.93,6.50,0.24,0.01,1.44,0.85
Desmognathus_wrighti,Plethodontidae,Plethodontinae,dd,T,T_dd,21.51,2.36,0.02,0.00,1.19,0.97,2.61,0.04,0.00,1.44,0.89
Dicamptodon_copei,Dicamptodontidae,Dicamptodontinae,pd,Aq,Aq_pd,87.78,9.58,0.59,0.04,1.33,0.98,10.05,0.73,0.05,1.17,0.99
Dicamptodon_ensatus,Dicamptodontidae,Dicamptodontinae,bi,T,T_bi,113.73,14.23,1.74,0.36,1.48,0.86,15.88,1.74,0.44,1.83,0.76
Dicamptodon_tenebrosus,Dicamptodontidae,Dicamptodontinae,bi,T,T_bi,132.07,17.69,1.66,0.34,1.54,0.87,17.31,1.86,0.41,1.50,0.83
Echinotriton_andersoni,Salamandridae,Pleurodelinae,bi,T,T_bi,61.06,10.94,0.92,0.11,1.69,0.91,10.45,0.97,0.15,2.06,0.83
Ensatina_eschscholtzii,Plethodontidae,Plethodontinae,dd,T,T_dd,51.63,6.88,0.27,0.01,1.83,0.78,6.94,0.29,0.01,1.74,0.76
Euproctus_platycephalus,Salamandridae,Pleurodelinae,bi,Aq,Aq_bi,45.25,5.98,0.15,0.00,1.17,0.98,6.23,0.22,0.01,1.39,0.93
Eurycea_arenicola,Plethodontidae,Hemidactyliinae,bi,SAq,SAq_bi,31.56,3.49,0.06,0.00,1.16,1.00,3.80,0.07,0.00,1.18,0.98
Eurycea_longicauda,Plethodontidae,Hemidactyliinae,bi,T,T_bi,34.65,4.51,0.09,0.00,1.62,0.82,4.67,0.10,0.00,1.42,0.89
Eurycea_lucifuga,Plethodontidae,Hemidactyliinae,bi,T,T_bi,56.49,7.38,0.25,0.01,1.25,0.94,7.61,0.26,0.01,1.26,0.92
Eurycea_neotenes,Plethodontidae,Hemidactyliinae,pd,Aq,Aq_pd,34.16,2.80,0.04,0.00,1.19,0.92,2.98,0.04,0.00,1.12,0.96
Eurycea_wallacei,Plethodontidae,Hemidactyliinae,pd,Aq,Aq_pd,31.20,3.92,0.07,0.00,1.16,1.00,4.47,0.07,0.00,1.12,1.00
Eurycea_wilderae,Plethodontidae,Hemidactyliinae,bi,SAq,SAq_bi,34.46,3.69,0.05,0.00,1.27,0.94,4.29,0.06,0.00,1.21,0.94
Gyrinophilus_porphyriticus,Plethodontidae,Hemidactyliinae,bi,SAq,SAq_bi,33.15,3.00,0.04,0.00,1.25,0.94,3.38,0.06,0.00,1.15,0.99
Hemidactylium_scutatum,Plethodontidae,Hemidactyliinae,bi,T,T_bi,39.00,3.88,0.07,0.00,1.14,0.96,3.69,0.08,0.00,1.18,0.98
Hydromantes_genei,Plethodontidae,Plethodontinae,dd,T,T_dd,54.93,7.24,0.27,0.01,2.05,0.73,7.19,0.28,0.01,1.75,0.80
Hydromantes_platycephalus,Plethodontidae,Plethodontinae,dd,T,T_dd,51.60,5.78,0.19,0.01,2.03,0.70,5.81,0.16,0.00,2.38,0.65
Hydromantes_samweli,Plethodontidae,Plethodontinae,dd,T,T_dd,54.42,6.77,0.30,0.01,1.70,0.84,6.82,0.34,0.01,1.51,0.88
Hynobius_naevius,Hynobiidae,Hynobiinae,bi,T,T_bi,57.74,8.46,0.50,0.03,1.30,0.93,7.69,0.49,0.02,1.25,0.95
Hynobius_nebulosus,Hynobiidae,Hynobiinae,bi,T,T_bi,57.45,7.11,0.36,0.01,1.31,0.98,6.41,0.38,0.01,1.31,0.93
Hypselotriton_orientalis,Salamandridae,Pleurodelinae,bi,Aq,Aq_bi,41.89,5.42,0.24,0.01,1.40,0.97,5.44,0.36,0.02,1.47,0.89
Hypselotriton_wolterstorffi,Salamandridae,Pleurodelinae,bi,Aq,Aq_bi,69.26,8.74,0.49,0.03,1.39,0.98,8.80,0.62,0.05,1.58,0.96
Ichthyosaura_alpestris,Salamandridae,Pleurodelinae,bi,SAq,SAq_bi,38.86,5.45,0.16,0.00,1.12,0.99,5.22,0.23,0.01,1.49,0.98
Isthmura_bellii,Plethodontidae,Hemidactyliinae,dd,T,T_dd,82.00,6.95,0.31,0.01,1.39,0.90,7.04,0.30,0.01,1.40,0.89
Ixalotriton_parvus,Plethodontidae,Hemidactyliinae,dd,T,T_dd,37.74,4.27,0.08,0.00,1.41,0.93,4.44,0.10,0.00,1.31,0.91
Laotriton_laoensis,Salamandridae,Pleurodelinae,bi,SAq,SAq_bi,87.77,14.39,2.43,0.93,1.97,0.98,13.97,2.64,0.96,1.73,0.88
Lissotriton_boscai,Salamandridae,Pleurodelinae,bi,SAq,SAq_bi,30.63,4.77,0.12,0.00,1.29,0.93,4.49,0.14,0.00,1.50,1.00
Lissotriton_helveticus,Salamandridae,Pleurodelinae,bi,SAq,SAq_bi,40.51,5.67,0.18,0.00,1.47,0.91,5.10,0.24,0.01,1.84,0.93
Lissotriton_italicus,Salamandridae,Pleurodelinae,bi,SAq,SAq_bi,27.29,4.15,0.07,0.00,1.32,0.93,4.05,0.08,0.00,1.86,0.87
Lissotriton_montandoni,Salamandridae,Pleurodelinae,bi,SAq,SAq_bi,34.86,5.79,0.20,0.00,1.27,0.99,5.47,0.25,0.01,1.94,1.00
Lissotriton_vulgaris,Salamandridae,Pleurodelinae,bi,SAq,SAq_bi,35.27,5.42,0.18,0.00,1.40,0.99,5.07,0.25,0.01,1.70,0.95
Liua_shihi,Hynobiidae,Hynobiinae,bi,Aq,Aq_bi,75.29,10.92,0.84,0.06,1.10,1.00,9.83,0.64,0.04,1.14,1.00
Mertensiella_caucasica,Salamandridae,Salamandrinae,bi,T,T_bi,62.76,9.58,0.33,0.01,1.56,0.90,8.77,0.36,0.01,1.34,0.92
Necturus_lewisi,Proteidae,Proteinae,pd,Aq,Aq_pd,111.97,6.88,0.49,0.02,1.22,0.97,7.31,0.54,0.03,1.07,1.00
Necturus_maculosus,Proteidae,Proteinae,pd,Aq,Aq_pd,159.47,9.31,0.75,0.06,1.23,0.93,10.17,0.94,0.08,1.14,1.00
Neurergus_crocatus,Salamandridae,Pleurodelinae,bi,SAq,SAq_bi,64.96,10.98,0.69,0.04,1.18,1.00,10.33,0.85,0.07,1.26,1.00
Notophthalmus_viridescens,Salamandridae,Pleurodelinae,bi,SAq,SAq_bi,28.60,4.21,0.10,0.00,1.51,0.99,4.34,0.16,0.00,1.64,0.93
Nototriton_mime,Plethodontidae,Hemidactyliinae,dd,T,T_dd,22.98,2.26,0.03,0.00,1.26,1.00,2.26,0.03,0.00,1.13,0.99
Nototriton_picadoi,Plethodontidae,Hemidactyliinae,dd,T,T_dd,33.00,2.55,0.03,0.00,1.16,1.00,2.63,0.03,0.00,1.17,1.00
Nyctanolis_pernix,Plethodontidae,Hemidactyliinae,dd,T,T_dd,54.89,8.06,0.22,0.01,1.58,0.82,8.50,0.25,0.01,1.33,0.92
Oedipina_maritima,Plethodontidae,Hemidactyliinae,dd,T,T_dd,37.91,2.82,0.04,0.00,1.23,1.00,3.26,0.04,0.00,1.29,0.99
Oedipina_savagei,Plethodontidae,Hemidactyliinae,dd,T,T_dd,32.90,2.66,0.04,0.00,1.32,0.99,2.88,0.04,0.00,1.15,0.99
Oedipina_taylori,Plethodontidae,Hemidactyliinae,dd,T,T_dd,40.55,2.16,0.02,0.00,1.31,0.93,2.32,0.02,0.00,1.92,0.75
Ommatotriton_vittatus,Salamandridae,Pleurodelinae,bi,SAq,SAq_bi,64.92,10.05,0.40,0.02,1.68,0.89,9.67,0.67,0.07,1.97,0.99
Onychodactylus_japonicus,Hynobiidae,Onychodactylinae,bi,SAq,SAq_bi,63.45,8.81,0.27,0.01,1.96,0.71,9.25,0.58,0.04,1.56,0.85
